,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,5%,-$1\sigma$,median,+$1\sigma$,95%
per_c[1],244.83125,0.00288,244.82536,244.83585,9e-05,7e-05,1000.09449,1510.63048,1.00508,244.82603,244.82805,244.83158,244.83415,244.83542
per_c[2],146.89875,0.00173,146.89522,146.90151,6e-05,4e-05,1000.09449,1510.63048,1.00508,146.89562,146.89683,146.89895,146.90049,146.90125
per_c[3],104.92768,0.00123,104.92515,104.92965,4e-05,3e-05,1000.09449,1510.63048,1.00508,104.92544,104.92631,104.92782,104.92892,104.92947
per_c[4],81.61042,0.00096,81.60845,81.61195,3e-05,2e-05,1000.09449,1510.63048,1.00508,81.60868,81.60935,81.61053,81.61138,81.61181
per_c[5],66.77216,0.00078,66.77055,66.77341,3e-05,2e-05,1000.09449,1510.63048,1.00508,66.77074,66.77129,66.77225,66.77295,66.7733
per_c[6],56.49952,0.00066,56.49816,56.50058,2e-05,2e-05,1000.09449,1510.63048,1.00508,56.49831,56.49878,56.4996,56.50019,56.50048
per_c[7],48.96625,0.00058,48.96507,48.96717,2e-05,1e-05,1000.09449,1510.63048,1.00508,48.96521,48.96561,48.96632,48.96683,48.96708
per_c[8],43.20552,0.00051,43.20448,43.20633,2e-05,1e-05,1000.09449,1510.63048,1.00508,43.20459,43.20495,43.20557,43.20603,43.20625
per_c[9],38.65757,0.00045,38.65664,38.65829,1e-05,1e-05,1000.09449,1510.63048,1.00508,38.65674,38.65706,38.65762,38.65802,38.65822
per_c[10],34.97589,0.00041,34.97505,34.97655,1e-05,1e-05,1000.09449,1510.63048,1.00508,34.97515,34.97544,34.97594,34.97631,34.97649
per_c[11],31.93451,0.00038,31.93374,31.93511,1e-05,1e-05,1000.09449,1510.63048,1.00508,31.93383,31.93409,31.93455,31.93489,31.93506
per_c[12],27.20347,0.00032,27.20282,27.20398,1e-05,1e-05,1000.09449,1510.63048,1.00508,27.20289,27.20312,27.20351,27.20379,27.20394
per_c[13],25.32737,0.0003,25.32676,25.32785,1e-05,1e-05,1000.09449,1510.63048,1.00508,25.32683,25.32704,25.3274,25.32767,25.3278
per_c[14],23.69335,0.00028,23.69278,23.69379,1e-05,1e-05,1000.09449,1510.63048,1.00508,23.69284,23.69304,23.69338,23.69363,23.69375
per_c[15],19.85118,0.00023,19.8507,19.85156,1e-05,1e-05,1000.09449,1510.63048,1.00508,19.85076,19.85092,19.85121,19.85142,19.85152
per_c[16],18.83317,0.00022,18.83272,18.83353,1e-05,1e-05,1000.09449,1510.63048,1.00508,18.83277,18.83293,18.8332,18.8334,18.83349
logror_c,-3.48789,0.05982,-3.59565,-3.37366,0.00158,0.00112,1451.79921,1555.90703,1.00202,-3.58722,-3.54597,-3.48701,-3.42916,-3.39368
ror_c,0.03062,0.00183,0.02744,0.03426,5e-05,3e-05,1451.79921,1555.90703,1.00202,0.02768,0.02884,0.03059,0.03241,0.03358
rpl_c[0],2.54161,0.21326,2.16153,2.95746,0.00537,0.0038,1580.48042,1529.24577,1.0026,2.20349,2.32852,2.53808,2.75067,2.90641
logmassest_c[0],2.05506,0.08178,1.90931,2.21454,0.00206,0.00146,1580.48042,1529.24577,1.0026,1.9254,1.97335,2.05371,2.13523,2.19496
b_c,0.74596,0.09295,0.57584,0.90722,0.0042,0.00302,490.34661,852.65269,1.00711,0.5837,0.65855,0.75824,0.83338,0.87278
tdur_c,0.1214,0.00857,0.10638,0.1385,0.00027,0.00019,1006.46716,922.3351,1.00106,0.10771,0.11268,0.12147,0.12938,0.13572
vel_c[0],3.18266,0.33281,2.55385,3.74995,0.01097,0.00776,1042.81595,1030.02151,1.00487,2.56068,2.88044,3.21442,3.50274,3.64388
vel_c[1],2.20674,0.23076,1.77074,2.60007,0.00761,0.00538,1042.81595,1030.02151,1.00487,1.77548,1.99718,2.22875,2.42866,2.52652
vel_c[2],1.86123,0.19463,1.4935,2.19298,0.00642,0.00454,1042.81595,1030.02151,1.00487,1.4975,1.68449,1.8798,2.04841,2.13095
vel_c[3],1.66376,0.17398,1.33505,1.96032,0.00574,0.00406,1042.81595,1030.02151,1.00487,1.33862,1.50577,1.68036,1.83108,1.90487
vel_c[4],1.53007,0.16,1.22776,1.80279,0.00527,0.00373,1042.81595,1030.02151,1.00487,1.23105,1.38477,1.54533,1.68394,1.75179
vel_c[5],1.43107,0.14965,1.14832,1.68614,0.00493,0.00349,1042.81595,1030.02151,1.00488,1.1514,1.29517,1.44534,1.57499,1.63845
vel_c[6],1.35356,0.14154,1.08613,1.59482,0.00467,0.0033,1042.81595,1030.02151,1.00488,1.08903,1.22502,1.36706,1.48968,1.54971
vel_c[7],1.29051,0.13495,1.03554,1.52053,0.00445,0.00315,1042.81595,1030.02151,1.00487,1.03831,1.16796,1.30338,1.42029,1.47752
vel_c[8],1.23777,0.12943,0.99322,1.4584,0.00427,0.00302,1042.81595,1030.02151,1.00487,0.99588,1.12023,1.25012,1.36225,1.41715
vel_c[9],1.19272,0.12472,0.95707,1.40532,0.00411,0.00291,1042.81595,1030.02151,1.00487,0.95963,1.07946,1.20462,1.31267,1.36557
vel_c[10],1.15359,0.12063,0.92567,1.35921,0.00398,0.00281,1042.81595,1030.02151,1.00485,0.92815,1.04404,1.1651,1.2696,1.32076
vel_c[11],1.11913,0.11703,0.89802,1.31861,0.00386,0.00273,1042.81595,1030.02151,1.00487,0.90042,1.01286,1.1303,1.23168,1.28131
vel_c[12],1.06089,0.11094,0.85128,1.24998,0.00366,0.00259,1042.81595,1030.02151,1.00487,0.85356,0.96015,1.07147,1.16758,1.21463
vel_c[13],1.03592,0.10833,0.83125,1.22056,0.00357,0.00253,1042.81595,1030.02151,1.00488,0.83347,0.93755,1.04625,1.1401,1.18604
vel_c[14],1.01314,0.10594,0.81297,1.19373,0.00349,0.00247,1042.81595,1030.02151,1.00485,0.81515,0.91693,1.02325,1.11503,1.15996
vel_c[15],0.95512,0.09988,0.76641,1.12536,0.00329,0.00233,1042.81595,1030.02151,1.00487,0.76846,0.86442,0.96465,1.05117,1.09353
vel_c[16],0.9385,0.09814,0.75308,1.10578,0.00324,0.00229,1042.81595,1030.02151,1.00485,0.75509,0.84938,0.94787,1.03289,1.07451
logvel_c[0],1.15175,0.11202,0.95175,1.3346,0.00381,0.00269,1042.81595,1030.02151,1.00495,0.94027,1.05794,1.16765,1.25354,1.29305
logvel_c[1],0.78555,0.11202,0.58555,0.96839,0.00381,0.00269,1042.81595,1030.02151,1.00497,0.57407,0.69174,0.80144,0.88734,0.92684
logvel_c[2],0.61527,0.11202,0.41527,0.79812,0.00381,0.00269,1042.81595,1030.02151,1.00497,0.40379,0.52146,0.63117,0.71707,0.75657
logvel_c[3],0.50311,0.11202,0.30311,0.68596,0.00381,0.00269,1042.81595,1030.02151,1.00497,0.29164,0.4093,0.51901,0.60491,0.64441
logvel_c[4],0.41934,0.11202,0.21934,0.60219,0.00381,0.00269,1042.81595,1030.02151,1.00498,0.20787,0.32553,0.43524,0.52114,0.56064
logvel_c[5],0.35245,0.11202,0.15245,0.5353,0.00381,0.00269,1042.81595,1030.02151,1.00497,0.14098,0.25864,0.36835,0.45425,0.49375
logvel_c[6],0.29677,0.11202,0.09677,0.47961,0.00381,0.00269,1042.81595,1030.02151,1.00497,0.08529,0.20296,0.31266,0.39856,0.43807
logvel_c[7],0.24907,0.11202,0.04907,0.43191,0.00381,0.00269,1042.81595,1030.02151,1.00497,0.03759,0.15526,0.26496,0.35086,0.39037
logvel_c[8],0.20735,0.11202,0.00734,0.39019,0.00381,0.00269,1042.81595,1030.02151,1.00495,-0.00413,0.11354,0.22324,0.30914,0.34864
logvel_c[9],0.17027,0.11202,-0.02973,0.35312,0.00381,0.00269,1042.81595,1030.02151,1.00495,-0.04121,0.07646,0.18617,0.27206,0.31157
logvel_c[10],0.13691,0.11202,-0.06309,0.31975,0.00381,0.00269,1042.81595,1030.02151,1.00495,-0.07457,0.0431,0.1528,0.2387,0.27821
logvel_c[11],0.10659,0.11202,-0.09342,0.28943,0.00381,0.00269,1042.81595,1030.02151,1.00498,-0.10489,0.01278,0.12248,0.20838,0.24788
logvel_c[12],0.05314,0.11202,-0.14686,0.23598,0.00381,0.00299,1042.81595,1030.02151,1.00497,-0.15834,-0.04067,0.06903,0.15493,0.19444
logvel_c[13],0.02932,0.11202,-0.17068,0.21216,0.00381,0.00309,1042.81595,1030.02151,1.00497,-0.18216,-0.06449,0.04521,0.13111,0.17062
logvel_c[14],0.00709,0.11202,-0.19291,0.18993,0.00381,0.00314,1042.81595,1030.02151,1.00498,-0.20439,-0.08672,0.02298,0.10888,0.14839
logvel_c[15],-0.05189,0.11202,-0.25189,0.13096,0.00381,0.00312,1042.81595,1030.02151,1.00497,-0.26337,-0.1457,-0.03599,0.04991,0.08941
logvel_c[16],-0.06944,0.11202,-0.26944,0.11341,0.00381,0.0031,1042.81595,1030.02151,1.00497,-0.28091,-0.16325,-0.05354,0.03236,0.07186
min_ecc_c[0],0.81474,0.04319,0.74057,0.87037,0.00154,0.00109,1042.81595,1030.02151,1.005,0.73535,0.78487,0.82352,0.84927,0.85992
min_ecc_c[1],0.65119,0.0709,0.52668,0.748,0.0025,0.00177,1042.81595,1030.02151,1.005,0.51834,0.5991,0.66484,0.71008,0.72912
min_ecc_c[2],0.54323,0.08456,0.39294,0.66298,0.00295,0.00209,1042.81595,1030.02151,1.00503,0.38319,0.47883,0.55885,0.61509,0.63905
min_ecc_c[3],0.46066,0.09142,0.29416,0.59538,0.00315,0.00222,1041.04439,1030.02151,1.00491,0.28364,0.38788,0.47693,0.54053,0.5679
min_ecc_c[4],0.39386,0.09348,0.21589,0.5386,0.00311,0.0022,1050.3877,1064.34271,1.00478,0.20517,0.3145,0.40969,0.47858,0.50845
min_ecc_c[5],0.33797,0.09312,0.15388,0.48885,0.00297,0.0021,1087.47931,1073.34051,1.00528,0.14848,0.25353,0.35255,0.42538,0.45719
min_ecc_c[6],0.2901,0.09177,0.09879,0.43346,0.00285,0.00201,1114.64594,1292.49598,1.00483,0.10414,0.20146,0.30294,0.37872,0.41204
min_ecc_c[7],0.24892,0.08882,0.06451,0.39504,0.00269,0.0019,1146.45869,1382.85397,1.00379,0.06623,0.15927,0.2591,0.33718,0.37168
min_ecc_c[8],0.21318,0.08527,0.0426,0.35782,0.00254,0.0018,1171.99636,1518.83524,1.00389,0.04858,0.12047,0.22058,0.29989,0.3358
min_ecc_c[9],0.18235,0.08106,0.01075,0.3041,0.0024,0.00169,1197.16501,1530.0492,1.00331,0.03243,0.09046,0.18556,0.26669,0.30293
min_ecc_c[10],0.15597,0.07671,0.00357,0.27344,0.0023,0.00166,1137.5892,1286.32206,1.00216,0.02302,0.06871,0.15476,0.23675,0.27599
min_ecc_c[11],0.13368,0.07284,0.00179,0.24497,0.00224,0.00168,1104.41988,1218.28425,1.00256,0.01779,0.05411,0.12821,0.20919,0.24991
min_ecc_c[12],0.10094,0.06844,0.0001,0.20535,0.00226,0.0018,1105.92973,1064.76278,1.00558,0.01351,0.03252,0.08864,0.16618,0.21156
min_ecc_c[13],0.08989,0.06942,0.0001,0.1931,0.00239,0.0019,1075.94335,1024.4961,1.0082,0.00702,0.02583,0.07445,0.151,0.20019
min_ecc_c[14],0.08286,0.07186,0.0001,0.19056,0.00257,0.002,991.70343,1049.29841,1.00718,0.00663,0.01883,0.07023,0.14121,0.2019
min_ecc_c[15],0.08589,0.08313,0.00012,0.2395,0.00297,0.00229,1058.73156,1030.02151,1.00246,0.00861,0.02239,0.05922,0.14543,0.25744
min_ecc_c[16],0.09221,0.08794,0.0001,0.25597,0.00311,0.0024,1031.58472,1030.02151,1.00665,0.00794,0.02259,0.06501,0.16202,0.27375
omega_c[0],1.5708,0.0,1.5708,1.5708,0.0,0.0,2000.0,2000.0,,1.5708,1.5708,1.5708,1.5708,1.5708
omega_c[1],1.5708,0.0,1.5708,1.5708,0.0,0.0,2000.0,2000.0,,1.5708,1.5708,1.5708,1.5708,1.5708
omega_c[2],1.57237,0.07025,1.5708,1.5708,0.00156,0.00111,2016.19407,2016.19407,1.0,1.5708,1.5708,1.5708,1.5708,1.5708
omega_c[3],1.58022,0.17186,1.5708,1.5708,0.00583,0.00412,869.88122,869.88122,1.00164,1.5708,1.5708,1.5708,1.5708,1.5708
omega_c[4],1.60064,0.30482,1.5708,1.5708,0.0132,0.00934,533.34383,533.34383,1.00409,1.5708,1.5708,1.5708,1.5708,1.5708
omega_c[5],1.61164,0.35595,1.5708,1.5708,0.01437,0.01017,613.22698,613.22698,1.00332,1.5708,1.5708,1.5708,1.5708,1.5708
omega_c[6],1.64148,0.46602,1.5708,1.5708,0.01728,0.01222,727.65395,727.65395,1.00332,1.5708,1.5708,1.5708,1.5708,1.5708
omega_c[7],1.67761,0.56949,1.5708,1.5708,0.01956,0.01384,847.51669,847.51669,1.00345,1.5708,1.5708,1.5708,1.5708,1.5708
omega_c[8],1.73573,0.70085,1.5708,1.5708,0.02223,0.01572,994.29721,994.29721,1.00249,1.5708,1.5708,1.5708,1.5708,4.71239
omega_c[9],1.80327,0.82258,1.5708,4.71239,0.02602,0.01841,999.13844,999.13844,1.00285,1.5708,1.5708,1.5708,1.5708,4.71239
omega_c[10],1.90066,0.96331,1.5708,4.71239,0.03093,0.02188,969.94546,969.94546,1.00317,1.5708,1.5708,1.5708,1.5708,4.71239
